,ID,Name,FoodPreference,Age,Sex,Kitchen,Kitchen_Story,Kitchen_Longitude,Kitchen_Latitude,ID_2,Name_2,Age_2,Sex_2
139,8280d117-c139-4124-a7e0-3a4474230721,Person140,meat,30,female,yes,1.0,8.675987725636151,50.58102612563615,def74c1b-56ed-4699-a652-422c6ba586be,Personx59,29.0,female
140,82968ef3-1407-4766-8e94-4aa604a81f45,Person141,veggie,25,male,yes,1.0,8.697032225211784,50.58218232521178,,,,
141,82b4141c-4f0c-43f4-8f69-9801f0be0846,Person142,none,27,male,no,,,,,,,
142,83ef96dc-29ef-4fb0-be32-1e9b2dd537ea,Person143,veggie,23,female,yes,,8.708555109865832,50.58999210986583,f81e2184-6841-4aaf-ae12-8b6b11e35a3c,Personx60,21.0,female
143,8557bfd3-437e-42eb-a94b-896e92f356e0,Person144,veggie,26,male,yes,2.0,8.67508333594985,50.58621323594985,ae5bb145-adf8-47c8-9cb8-ae559945f5e2,Personx61,24.0,female
144,871eeeee-19ae-4f98-a6a6-ba1f4f055aa1,Person145,none,20,male,yes,1.0,8.677430757765212,50.58573585776521,,,,
145,89b4a9ae-bb00-4581-a940-a62a90bd3e1b,Person146,veggie,21,female,maybe,1.0,8.667820533296938,50.58540563329694,,,,
146,8a5634cc-77cc-4148-a81e-4cd7a240b13b,Person147,meat,23,female,no,1.0,,,,,,
147,8aeb7dc1-6a86-4d0c-9e42-cf53945bf4d7,Person148,vegan,24,female,yes,2.0,8.677990515344048,50.58256051534405,d10ae172-bc41-4638-8175-7b9f241c02d7,Personx62,25.0,female
148,928b2cb1-83a8-4991-890f-a1e20da38d74,Person149,vegan,28,male,yes,,8.700981703134975,50.588465403134975,,,,
149,934df051-8c3e-4a1c-9ed6-eff931304329,Person150,vegan,23,male,no,1.0,,,,,,
150,936d7c55-3bff-4e08-b396-530bd5d385fa,Person151,veggie,23,female,yes,2.0,8.7062086633943,50.589738663394314,a1d88961-e8c5-4557-82d8-8519ecba3a61,Personx63,21.0,female
151,939f13d7-abc2-488c-8ee3-297c8a27685c,Person152,none,30,male,no,1.0,,,,,,
152,95f0482b-c31a-4e84-9f88-3c7ad335388f,Person153,veggie,23,female,no,,,,,,,
153,9636610a-b3f2-4260-82e6-339bd0e66f2f,Person154,none,24,female,no,2.0,,,,,,
154,98e7b81e-3c62-4cb9-8a6f-f5cf5e531b9c,Person155,none,25,female,yes,2.0,8.675285592695355,50.586022292695354,a668e7b7-33bd-4931-9e16-64cfb72f5af1,Personx64,30.0,female
155,99811d30-d09a-45ae-b42e-33c63117b39c,Person156,none,22,female,yes,1.0,8.667047732873854,50.58279563287387,,,,
156,9a5ee4a7-88bc-487f-ab17-0c9bf8d28e64,Person157,vegan,23,female,yes,,8.685748964106464,50.582358964106454,,,,
157,9b2b3189-626f-4263-9959-0c3ac70e4960,Person158,none,33,male,no,4.0,,,,,,
158,9b9b11c9-60b8-4c4d-b0cb-0a1101e1c66d,Person159,veggie,23,female,yes,,8.675942781168803,50.59390988116879,fd82aa5e-6a54-41b1-a001-69a8954dc835,Personx65,24.0,female
159,9bc2d632-92a4-4c96-a486-307815b2f3e0,Person160,none,25,male,no,3.0,,,,,,
